=== EFFECTIVE RECORD OFFSET ACCESS MAP ===
offset=0x40 count=26
  ref=0x0208b0ac literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x0208b0bc ldr r0, [r1, r0] disp=+0x0
  ref=0x0208b0f8 literal=0x02179f70 base_offset=0x50 dst=r6 -> access=0x0208b108 ldr r3, [r6, r3] disp=+0x0
  ref=0x0208b214 literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x0208b224 ldr r0, [r1, r0] disp=+0x0
  ref=0x0208b2d8 literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x0208b2e8 ldr r1, [r1, r0] disp=+0x0
  ref=0x0208b5b4 literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x0208b5c4 ldr r0, [r1, r0] disp=+0x0
  ref=0x0208b650 literal=0x02179f70 base_offset=0x50 dst=r0 -> access=0x0208b658 ldr r0, [r0, r1] disp=+0x0
  ref=0x0208b9b4 literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x0208b9c4 ldr r0, [r1, r0] disp=+0x0
  ref=0x0208ba40 literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x0208ba50 ldr r0, [r1, r0] disp=+0x0
  ref=0x0208badc literal=0x02179f70 base_offset=0x50 dst=r0 -> access=0x0208bae4 ldr r0, [r0, r1] disp=+0x0
  ref=0x0208bf60 literal=0x02179f70 base_offset=0x50 dst=r2 -> access=0x0208bf70 ldr r1, [r2, r1] disp=+0x0
  ref=0x0208bff0 literal=0x02179f70 base_offset=0x50 dst=r4 -> access=0x0208c000 ldr r0, [r4, r0] disp=+0x0
  ref=0x0208d1e0 literal=0x02179f70 base_offset=0x50 dst=r1 -> access=0x0208d1f0 ldr r6, [r1, r0] disp=+0x0
  ref=0x0208d318 literal=0x02179f70 base_offset=0x50 dst=r4 -> access=0x0208d328 ldr sl, [r4, sl] disp=+0x0
  ref=0x0208d798 literal=0x02179f70 base_offset=0x50 dst=r3 -> access=0x0208d7a4 ldr r2, [r3, r2] disp=+0x0
